# # Free energy [meV] +- error; FC gradient +- error; Structure gradient +- error; Kong-Liu effective sample size
1.598389920007547971e+03 8.408069170920347446e+00 2.597700995413377427e+02 8.669700662942482268e+02 1.013893618713398403e+01 2.529232299809001816e+01 9.969037689314133104e+02
1.598188686314912729e+03 8.345392351680679610e+00 2.091963782428959462e+02 8.710938633545582661e+02 4.527748998396733171e+00 2.531111876895591450e+01 9.981684624299821280e+02
1.598032280492281416e+03 8.289067444675149332e+00 3.192210344397254289e+02 8.734600356423394487e+02 6.332173233317663907e-01 2.530433342139927433e+01 9.988895827431160797e+02
1.597894551323976202e+03 8.235511940739657533e+00 2.255494979599003500e+02 8.731985003274950259e+02 4.916006554470160883e-01 2.526397612477447652e+01 9.991806227425087172e+02
1.597790048432304957e+03 8.194823633389223261e+00 3.976224567268735655e+01 8.716860325754593077e+02 4.955176785482335450e-02 2.521723815197944418e+01 9.992556812637371877e+02
1.597754616399641691e+03 8.180500186102035443e+00 1.113053693020606616e+01 8.715638970957603533e+02 1.965587222354193975e-01 2.520576524440499355e+01 9.993191589124313623e+02
1.597755289773730055e+03 8.180860115225694784e+00 1.608488011051383504e+00 8.714492402830339870e+02 6.464323388711830376e-02 2.520463655165506722e+01 9.993069231552099154e+02
1.597755838457457230e+03 8.181090768966052806e+00 1.197436407611911724e+00 8.714238196570195214e+02 3.130186191626903314e-02 2.520448997286491277e+01 9.993034281993512877e+02
1.597756546675695290e+03 8.181371624841508705e+00 1.911944943308100830e+00 8.714082194012120226e+02 7.023707577844180185e-03 2.520449588935529306e+01 9.993005739892514612e+02
1.597757328494200920e+03 8.181663170763163961e+00 1.410968703994616380e+00 8.714081664055582905e+02 1.061994103456013853e-03 2.520469592219058796e+01 9.992990973307861395e+02
1.597757955450193322e+03 8.181882166500805909e+00 2.775050066244753588e-01 8.714163368561722791e+02 1.479010185522805889e-03 2.520494419887621973e+01 9.992987560641184928e+02
1.597758183121986576e+03 8.181949899390881242e+00 8.912633958313606608e-02 8.714162618629090957e+02 7.221297660850343417e-04 2.520498801282557366e+01 9.992984343275777519e+02
1.597758180516494576e+03 8.181944651732433016e+00 6.450369581993410130e-03 8.714170883106186238e+02 2.479736880695613079e-04 2.520499396030449901e+01 9.992985426732508358e+02
